time;Mom   
03/11/1926;   0.56
04/11/1926;  -0.50
05/11/1926;   1.17
06/11/1926;  -0.03
08/11/1926;  -0.01
09/11/1926;   0.13
10/11/1926;   0.28
11/11/1926;  -0.94
12/11/1926;  -0.34
13/11/1926;   0.41
15/11/1926;   0.00
16/11/1926;  -0.07
17/11/1926;   0.12
18/11/1926;   0.57
19/11/1926;   0.19
20/11/1926;  -0.35
22/11/1926;  -0.11
23/11/1926;   0.54
24/11/1926;  -0.42
26/11/1926;  -0.25
27/11/1926;   0.46
29/11/1926;  -0.09
30/11/1926;   0.16
01/12/1926;  -0.01
02/12/1926;  -0.05
03/12/1926;  -0.59
04/12/1926;   0.08
06/12/1926;   0.20
07/12/1926;   0.28
08/12/1926;   0.19
09/12/1926;  -0.52
10/12/1926;   0.00
11/12/1926;  -0.48
13/12/1926;  -0.72
14/12/1926;   0.60
15/12/1926;  -0.32
16/12/1926;  -0.01
17/12/1926;   0.13
18/12/1926;  -0.27
20/12/1926;   0.69
21/12/1926;   0.51
22/12/1926;   0.04
23/12/1926;   0.40
24/12/1926;   0.28
27/12/1926;   0.25
28/12/1926;   0.36
29/12/1926;  -0.12
30/12/1926;   0.02
31/12/1926;  -0.70
03/01/1927;   0.01
04/01/1927;  -0.29
05/01/1927;  -0.49
06/01/1927;  -0.06
07/01/1927;   0.67
08/01/1927;  -0.52
10/01/1927;   0.14
11/01/1927;   0.21
12/01/1927;   0.30
13/01/1927;   0.30
14/01/1927;   0.50
15/01/1927;   0.88
17/01/1927;   0.00
18/01/1927;  -0.25
19/01/1927;  -0.48
20/01/1927;   0.16
21/01/1927;   0.31
22/01/1927;   0.82
24/01/1927;   0.20
25/01/1927;  -0.35
26/01/1927;   0.42
27/01/1927;  -0.28
28/01/1927;   0.34
29/01/1927;   0.48
31/01/1927;   0.46
01/02/1927;  -0.19
02/02/1927;  -0.17
03/02/1927;   0.46
04/02/1927;  -0.70
05/02/1927;   0.03
07/02/1927;  -0.45
08/02/1927;  -0.17
09/02/1927;  -0.35
10/02/1927;  -0.09
11/02/1927;   0.01
14/02/1927;   0.45
15/02/1927;   0.27
16/02/1927;   0.43
17/02/1927;   0.67
18/02/1927;   0.29
19/02/1927;  -0.39
21/02/1927;  -0.02
23/02/1927;   0.17
24/02/1927;  -0.05
25/02/1927;  -0.50
26/02/1927;   0.08
28/02/1927;   0.30
01/03/1927;   0.20
02/03/1927;  -0.23
03/03/1927;   0.75
04/03/1927;  -0.31
05/03/1927;   0.05
07/03/1927;   0.27
08/03/1927;  -0.02
09/03/1927;   0.37
10/03/1927;   0.41
11/03/1927;   0.59
12/03/1927;  -0.61
14/03/1927;   0.51
15/03/1927;  -0.11
16/03/1927;   1.09
17/03/1927;   0.15
18/03/1927;  -0.22
19/03/1927;   0.06
21/03/1927;   0.22
22/03/1927;  -0.56
23/03/1927;  -0.22
24/03/1927;   0.89
25/03/1927;   0.11
26/03/1927;  -0.48
28/03/1927;   0.47
29/03/1927;   0.51
30/03/1927;   0.68
31/03/1927;  -0.13
01/04/1927;   0.43
02/04/1927;  -0.10
04/04/1927;   0.97
05/04/1927;   0.26
06/04/1927;   0.01
07/04/1927;  -0.21
08/04/1927;   0.92
09/04/1927;   0.92
11/04/1927;  -0.19
12/04/1927;  -0.73
13/04/1927;  -0.17
14/04/1927;  -0.29
16/04/1927;   0.44
18/04/1927;   0.38
19/04/1927;  -0.02
20/04/1927;  -0.09
21/04/1927;   0.19
22/04/1927;   0.43
23/04/1927;   0.27
25/04/1927;  -0.55
26/04/1927;   0.53
27/04/1927;   0.99
28/04/1927;  -0.35
29/04/1927;   0.24
30/04/1927;   0.00
02/05/1927;   0.38
03/05/1927;   0.52
04/05/1927;  -0.50
05/05/1927;  -0.34
06/05/1927;  -0.11
07/05/1927;  -0.21
09/05/1927;   0.61
10/05/1927;   0.03
11/05/1927;  -0.39
12/05/1927;  -0.09
13/05/1927;   0.96
14/05/1927;  -0.17
16/05/1927;  -0.03
17/05/1927;   0.77
18/05/1927;   0.57
19/05/1927;   0.35
20/05/1927;   0.06
21/05/1927;  -0.57
23/05/1927;   0.95
24/05/1927;  -0.16
25/05/1927;   0.16
26/05/1927;  -0.46
27/05/1927;   0.83
28/05/1927;  -0.23
31/05/1927;   0.76
01/06/1927;   1.48
02/06/1927;   0.09
03/06/1927;  -0.61
04/06/1927;   0.56
06/06/1927;   0.28
07/06/1927;  -0.48
08/06/1927;  -0.40
09/06/1927;  -0.03
10/06/1927;  -0.33
11/06/1927;  -0.05
14/06/1927;  -0.86
15/06/1927;   0.96
16/06/1927;   0.65
17/06/1927;   0.47
18/06/1927;   0.08
20/06/1927;  -0.24
21/06/1927;   0.20
22/06/1927;   0.16
23/06/1927;  -0.52
24/06/1927;   0.31
25/06/1927;   0.58
27/06/1927;  -0.33
28/06/1927;  -0.09
29/06/1927;  -0.13
30/06/1927;   0.13
01/07/1927;   0.52
02/07/1927;   0.35
05/07/1927;   0.47
06/07/1927;   0.17
07/07/1927;   0.13
08/07/1927;   0.65
09/07/1927;  -0.17
11/07/1927;   0.51
12/07/1927;  -0.18
13/07/1927;   0.16
14/07/1927;   0.54
15/07/1927;  -0.07
16/07/1927;  -0.54
18/07/1927;   0.01
19/07/1927;   0.09
20/07/1927;   0.54
21/07/1927;  -0.05
22/07/1927;  -0.71
23/07/1927;   0.06
25/07/1927;  -0.01
26/07/1927;   0.14
27/07/1927;  -0.11
28/07/1927;  -0.03
29/07/1927;   0.14
30/07/1927;   0.61
01/08/1927;   1.02
02/08/1927;  -0.02
03/08/1927;  -1.11
04/08/1927;  -0.70
05/08/1927;  -0.90
06/08/1927;   0.36
08/08/1927;  -0.86
09/08/1927;   0.80
10/08/1927;   0.17
11/08/1927;  -0.78
12/08/1927;  -1.26
13/08/1927;   0.86
15/08/1927;   0.25
16/08/1927;   0.91
17/08/1927;  -0.02
18/08/1927;   0.09
19/08/1927;   0.70
20/08/1927;   0.39
22/08/1927;   0.72
23/08/1927;   0.20
24/08/1927;   0.60
25/08/1927;   0.57
26/08/1927;   0.41
27/08/1927;   0.25
29/08/1927;   0.51
30/08/1927;   0.22
31/08/1927;  -0.63
01/09/1927;   0.55
02/09/1927;   0.61
03/09/1927;  -0.07
06/09/1927;   0.33
07/09/1927;  -0.06
08/09/1927;  -0.35
09/09/1927;  -0.85
10/09/1927;   0.23
