Date;Mkt-RF;SMB;HML;RMW;CMA;RF
01/07/1963;   -0.67;    0.01;   -0.35;    0.03;    0.11;   0.012
02/07/1963;    0.79;   -0.31;    0.24;   -0.08;   -0.25;   0.012
03/07/1963;    0.63;   -0.16;   -0.09;    0.13;   -0.24;   0.012
05/07/1963;    0.40;    0.09;   -0.26;    0.07;   -0.28;   0.012
08/07/1963;   -0.63;    0.07;   -0.19;   -0.27;    0.06;   0.012
09/07/1963;    0.45;    0.01;    0.08;    0.15;    0.01;   0.012
10/07/1963;   -0.18;    0.20;    0.01;    0.05;   -0.09;   0.012
11/07/1963;   -0.16;    0.12;   -0.29;   -0.03;    0.07;   0.012
12/07/1963;   -0.12;    0.01;   -0.08;    0.09;    0.07;   0.012
15/07/1963;   -0.62;    0.07;   -0.02;    0.15;   -0.10;   0.012
16/07/1963;   -0.07;   -0.07;    0.11;   -0.04;   -0.12;   0.012
17/07/1963;   -0.33;   -0.08;    0.14;    0.04;    0.07;   0.012
18/07/1963;   -0.54;    0.25;    0.07;   -0.07;    0.20;   0.012
19/07/1963;   -0.23;   -0.03;   -0.05;    0.16;   -0.35;   0.012
22/07/1963;   -0.70;   -0.11;   -0.33;    0.03;   -0.15;   0.012
23/07/1963;    0.01;   -0.10;   -0.19;    0.03;   -0.08;   0.012
24/07/1963;    0.46;   -0.11;   -0.04;   -0.12;   -0.24;   0.012
25/07/1963;   -0.04;    0.14;    0.26;   -0.15;    0.12;   0.012
26/07/1963;    0.35;   -0.14;    0.08;    0.00;   -0.15;   0.012
29/07/1963;    0.11;   -0.18;    0.25;    0.03;   -0.03;   0.012
30/07/1963;    0.84;   -0.28;   -0.25;    0.48;   -0.31;   0.012
31/07/1963;   -0.13;    0.11;   -0.01;   -0.13;    0.30;   0.012
01/08/1963;   -0.08;   -0.13;   -0.13;    0.13;   -0.08;   0.011
02/08/1963;    0.29;   -0.15;    0.16;   -0.05;    0.03;   0.011
05/08/1963;    0.57;   -0.42;    0.16;    0.01;    0.08;   0.011
06/08/1963;    0.60;   -0.35;    0.26;   -0.02;   -0.02;   0.011
07/08/1963;   -0.19;    0.02;    0.16;   -0.16;    0.14;   0.011
08/08/1963;    0.14;   -0.02;   -0.24;    0.25;   -0.22;   0.011
09/08/1963;    0.60;   -0.11;   -0.05;    0.15;   -0.03;   0.011
12/08/1963;    0.24;    0.20;    0.43;   -0.09;    0.35;   0.011
13/08/1963;    0.27;   -0.23;    0.01;    0.05;   -0.04;   0.011
14/08/1963;    0.30;   -0.05;    0.22;   -0.19;    0.08;   0.011
15/08/1963;    0.43;   -0.27;    0.37;   -0.16;    0.02;   0.011
16/08/1963;    0.15;    0.08;    0.09;    0.09;   -0.18;   0.011
19/08/1963;   -0.05;   -0.01;   -0.10;   -0.08;    0.00;   0.011
20/08/1963;   -0.05;    0.02;   -0.24;    0.03;    0.10;   0.011
21/08/1963;   -0.11;    0.34;   -0.11;   -0.05;    0.09;   0.011
22/08/1963;    0.39;    0.08;    0.10;   -0.12;   -0.27;   0.011
23/08/1963;    0.34;   -0.01;    0.09;    0.04;   -0.02;   0.011
26/08/1963;    0.18;   -0.11;    0.14;    0.09;   -0.23;   0.011
27/08/1963;   -0.44;    0.08;   -0.06;    0.04;    0.10;   0.011
28/08/1963;    0.77;    0.08;    0.42;    0.06;    0.22;   0.011
29/08/1963;    0.18;    0.12;    0.00;    0.10;    0.05;   0.011
30/08/1963;    0.44;    0.14;   -0.13;    0.15;   -0.20;   0.011
03/09/1963;    0.23;    0.07;    0.05;   -0.01;    0.17;   0.014
04/09/1963;   -0.01;    0.05;   -0.07;   -0.35;    0.00;   0.014
05/09/1963;    0.47;   -0.09;    0.13;   -0.09;   -0.01;   0.014
06/09/1963;   -0.27;   -0.16;    0.00;    0.14;    0.03;   0.014
09/09/1963;   -0.36;   -0.24;   -0.04;    0.09;    0.11;   0.014
10/09/1963;    0.52;   -0.13;    0.42;   -0.01;   -0.17;   0.014
11/09/1963;    0.24;   -0.24;    0.21;   -0.13;    0.36;   0.014
12/09/1963;   -0.09;    0.11;   -0.12;   -0.17;   -0.22;   0.014
13/09/1963;    0.02;    0.36;   -0.18;   -0.28;    0.09;   0.014
16/09/1963;   -0.16;    0.07;    0.17;   -0.05;   -0.20;   0.014
17/09/1963;    0.03;   -0.16;    0.16;    0.07;   -0.03;   0.014
18/09/1963;   -0.43;    0.10;   -0.25;   -0.10;   -0.15;   0.014
19/09/1963;    0.52;   -0.40;    0.16;    0.14;   -0.01;   0.014
20/09/1963;    0.04;   -0.05;    0.00;    0.08;   -0.37;   0.014
23/09/1963;   -0.50;   -0.09;   -0.20;    0.12;    0.14;   0.014
24/09/1963;    0.35;   -0.32;    0.12;   -0.04;    0.09;   0.014
25/09/1963;   -0.58;   -0.25;   -0.10;   -0.37;    0.04;   0.014
26/09/1963;   -0.81;    0.46;   -0.35;   -0.06;    0.21;   0.014
27/09/1963;   -0.18;    0.27;   -0.22;    0.19;    0.07;   0.014
30/09/1963;   -0.60;    0.21;    0.09;    0.24;    0.12;   0.014
01/10/1963;    0.65;   -0.22;    0.24;   -0.06;   -0.22;   0.013
02/10/1963;    0.10;   -0.15;   -0.01;    0.01;   -0.04;   0.013
03/10/1963;    0.67;   -0.25;    0.85;   -0.36;    0.19;   0.013
04/10/1963;    0.00;   -0.01;    0.06;   -0.02;    0.12;   0.013
07/10/1963;   -0.23;    0.17;   -0.02;   -0.19;   -0.02;   0.013
08/10/1963;   -0.14;    0.17;    0.27;    0.00;   -0.12;   0.013
09/10/1963;   -0.61;    0.16;   -0.06;   -0.02;    0.18;   0.013
10/10/1963;    0.08;   -0.01;    0.14;    0.08;    0.01;   0.013
11/10/1963;    0.13;    0.34;    0.08;   -0.01;    0.09;   0.013
14/10/1963;    0.05;   -0.04;    0.08;    0.10;   -0.15;   0.013
15/10/1963;    0.17;   -0.27;    0.14;    0.07;   -0.01;   0.013
16/10/1963;    0.89;   -0.32;    0.29;    0.11;   -0.44;   0.013
17/10/1963;    0.14;    0.09;   -0.25;    0.22;    0.16;   0.013
18/10/1963;    0.09;    0.13;   -0.23;    0.19;   -0.13;   0.013
21/10/1963;    0.03;   -0.25;   -0.33;    0.54;    0.14;   0.013
22/10/1963;   -0.54;    0.34;   -0.46;    0.32;   -0.37;   0.013
23/10/1963;    0.03;   -0.11;   -0.06;    0.08;   -0.04;   0.013
24/10/1963;    0.35;   -0.08;    0.46;    0.09;   -0.07;   0.013
25/10/1963;    0.85;   -0.41;   -0.86;    0.60;   -0.85;   0.013
28/10/1963;    0.41;   -0.76;   -0.28;    0.66;   -0.49;   0.013
29/10/1963;   -0.04;   -0.24;   -0.07;    0.25;    0.36;   0.013
30/10/1963;   -0.79;    0.45;   -0.07;   -0.21;    0.40;   0.013
31/10/1963;    0.21;   -0.03;    0.08;    0.10;   -0.27;   0.013
01/11/1963;   -0.18;    0.26;    0.20;   -0.22;    0.15;   0.015
04/11/1963;   -0.43;    0.05;    0.37;   -0.21;    0.26;   0.015
06/11/1963;   -0.77;    0.11;    0.23;   -0.13;    0.48;   0.015
07/11/1963;    0.33;    0.04;   -0.05;   -0.11;   -0.23;   0.015
08/11/1963;    0.54;    0.00;    0.11;    0.08;   -0.06;   0.015
11/11/1963;    0.20;    0.24;    0.14;    0.13;   -0.05;   0.015
12/11/1963;   -0.37;    0.26;   -0.28;    0.19;   -0.23;   0.015
13/11/1963;    0.05;    0.05;   -0.06;    0.08;    0.04;   0.015
14/11/1963;   -0.41;    0.10;   -0.02;   -0.12;    0.39;   0.015
15/11/1963;   -0.75;    0.36;    0.00;   -0.11;    0.64;   0.015
18/11/1963;   -0.74;    0.13;   -0.23;    0.29;   -0.04;   0.015
19/11/1963;    0.10;   -0.33;    0.36;   -0.14;    0.05;   0.015
20/11/1963;    0.76;   -0.99;   -0.33;    0.31;    0.41;   0.015
21/11/1963;   -1.25;   -0.10;    0.01;   -0.37;    0.21;   0.015
22/11/1963;   -2.90;   -0.54;    0.03;    0.71;    0.33;   0.015
26/11/1963;    3.94;   -1.29;    0.93;   -0.50;    0.01;   0.015
27/11/1963;   -0.16;    0.35;    0.12;   -0.05;   -0.03;   0.015
29/11/1963;    1.34;    0.29;    0.34;   -0.31;   -0.14;   0.015
02/12/1963;    0.53;   -0.32;   -0.20;    0.45;   -0.28;   0.014
03/12/1963;   -0.05;   -0.07;   -0.19;    0.14;    0.17;   0.014
04/12/1963;    0.25;    0.12;    0.11;   -0.14;    0.20;   0.014
05/12/1963;    0.57;   -0.73;    0.13;   -0.20;    0.26;   0.014
06/12/1963;   -0.32;    0.18;    0.07;   -0.15;   -0.02;   0.014
09/12/1963;   -0.11;    0.02;   -0.16;    0.11;   -0.32;   0.014
10/12/1963;    0.06;   -0.11;    0.21;    0.21;    0.18;   0.014
11/12/1963;   -0.14;    0.02;    0.10;   -0.27;   -0.23;   0.014
12/12/1963;   -0.03;   -0.15;   -0.07;    0.10;    0.35;   0.014
13/12/1963;    0.16;   -0.08;    0.11;   -0.16;   -0.06;   0.014
16/12/1963;    0.25;   -0.48;   -0.03;    0.03;   -0.37;   0.014
17/12/1963;    0.44;   -0.63;    0.08;    0.15;   -0.58;   0.014
18/12/1963;   -0.18;   -0.26;    0.57;   -0.40;    0.59;   0.014
19/12/1963;   -0.33;   -0.08;   -0.47;    0.00;    0.16;   0.014
20/12/1963;   -0.20;   -0.24;    0.13;   -0.10;    0.29;   0.014
23/12/1963;   -0.60;    0.25;   -0.05;   -0.47;    0.11;   0.014
24/12/1963;    0.23;    0.15;   -0.15;    0.25;   -0.34;   0.014
26/12/1963;    0.47;    0.09;    0.07;   -0.09;    0.08;   0.014
27/12/1963;    0.16;    0.11;   -0.14;   -0.12;   -0.11;   0.014
30/12/1963;    0.10;   -0.31;   -0.20;    0.50;   -0.34;   0.014
31/12/1963;    0.56;    0.43;   -0.08;    0.17;   -0.22;   0.014
02/01/1964;    0.60;    0.66;    0.57;   -0.40;    0.15;   0.013
03/01/1964;    0.17;    0.22;    0.35;   -0.31;    0.24;   0.013
06/01/1964;    0.23;    0.07;    0.02;   -0.23;    0.35;   0.013
07/01/1964;    0.04;    0.21;    0.74;   -0.41;    0.81;   0.013
08/01/1964;    0.34;    0.07;   -0.14;    0.24;    0.08;   0.013
09/01/1964;    0.30;   -0.12;   -0.35;    0.45;   -0.78;   0.013
10/01/1964;   -0.04;    0.00;   -0.13;    0.15;    0.05;   0.013
13/01/1964;   -0.10;    0.10;    0.44;   -0.26;    0.41;   0.013
14/01/1964;    0.15;   -0.22;    0.65;   -0.17;    0.57;   0.013
15/01/1964;    0.24;   -0.25;   -0.12;    0.00;   -0.29;   0.013
16/01/1964;   -0.10;    0.20;   -0.32;   -0.19;    0.03;   0.013
17/01/1964;   -0.02;    0.29;   -0.03;    0.16;    0.08;   0.013
20/01/1964;   -0.21;    0.15;   -0.54;    0.42;   -0.32;   0.013
21/01/1964;    0.26;   -0.43;    0.05;    0.11;    0.13;   0.013
22/01/1964;    0.48;   -0.24;    0.43;   -0.29;    0.02;   0.013
23/01/1964;    0.09;   -0.05;    0.17;    0.41;    0.03;   0.013
24/01/1964;    0.04;    0.32;    0.18;   -0.10;   -0.18;   0.013
27/01/1964;   -0.11;   -0.44;    0.05;   -0.34;    0.24;   0.013
28/01/1964;   -0.01;   -0.23;    0.15;   -0.13;    0.03;   0.013
29/01/1964;   -0.58;    0.00;   -0.17;   -0.13;   -0.06;   0.013
30/01/1964;    0.04;    0.10;   -0.29;    0.84;   -0.09;   0.013
31/01/1964;    0.38;   -0.34;   -0.18;    0.35;   -0.29;   0.013
03/02/1964;    0.00;    0.02;    0.05;   -0.29;    0.10;   0.014
04/02/1964;   -0.13;   -0.28;   -0.20;   -0.11;    0.26;   0.014
05/02/1964;   -0.08;    0.06;    0.29;   -0.01;    0.39;   0.014
06/02/1964;    0.24;    0.08;   -0.21;    0.04;    0.08;   0.014
07/02/1964;    0.37;   -0.06;    0.13;    0.08;    0.36;   0.014
10/02/1964;   -0.13;    0.17;   -0.21;    0.13;   -0.16;   0.014
11/02/1964;    0.33;   -0.03;   -0.15;    0.21;    0.37;   0.014
12/02/1964;    0.30;    0.02;    0.18;   -0.04;    0.02;   0.014
13/02/1964;    0.08;   -0.02;   -0.07;    0.13;   -0.29;   0.014
14/02/1964;   -0.04;    0.07;    0.20;   -0.20;   -0.07;   0.014
17/02/1964;    0.03;    0.19;    0.26;    0.09;    0.17;   0.014
18/02/1964;    0.01;   -0.22;    0.53;    0.00;    0.02;   0.014
19/02/1964;    0.11;   -0.01;    0.07;    0.24;   -0.23;   0.014
20/02/1964;    0.09;    0.04;    0.72;   -0.37;    0.18;   0.014
24/02/1964;    0.10;   -0.02;    0.42;   -0.06;   -0.01;   0.014
25/02/1964;    0.04;   -0.11;    0.17;    0.09;   -0.22;   0.014
26/02/1964;    0.28;    0.18;    0.20;    0.12;    0.00;   0.014
27/02/1964;   -0.27;    0.15;   -0.06;   -0.04;    0.16;   0.014
28/02/1964;    0.21;    0.05;    0.40;   -0.10;   -0.27;   0.014
02/03/1964;    0.22;    0.00;    0.34;   -0.20;    0.14;   0.015
03/03/1964;    0.26;   -0.33;   -0.27;    0.09;    0.34;   0.015
04/03/1964;   -0.20;    0.03;   -0.08;   -0.45;    0.08;   0.015
05/03/1964;    0.00;    0.15;    0.23;    0.00;   -0.10;   0.015
06/03/1964;    0.32;    0.39;    0.03;   -0.02;    0.10;   0.015
09/03/1964;    0.01;    0.04;    0.44;   -0.06;    0.05;   0.015
10/03/1964;    0.28;   -0.36;    0.24;    0.25;    0.14;   0.015
11/03/1964;    0.40;   -0.27;    0.20;   -0.11;    0.36;   0.015
12/03/1964;    0.18;   -0.04;    0.15;   -0.09;   -0.01;   0.015
13/03/1964;    0.09;    0.13;    0.09;   -0.24;    0.21;   0.015
16/03/1964;    0.03;    0.04;   -0.23;   -0.03;   -0.24;   0.015
17/03/1964;    0.19;    0.02;    0.26;   -0.05;   -0.02;   0.015
18/03/1964;    0.10;    0.02;    0.50;   -0.40;    0.34;   0.015
19/03/1964;   -0.09;    0.10;    0.01;    0.11;   -0.05;   0.015
20/03/1964;   -0.42;    0.29;    0.10;   -0.21;    0.28;   0.015
23/03/1964;    0.01;    0.30;   -0.05;    0.09;    0.09;   0.015
24/03/1964;   -0.18;    0.13;    0.30;   -0.11;    0.32;   0.015
25/03/1964;    0.24;    0.31;    0.59;   -0.32;    0.18;   0.015
26/03/1964;    0.26;    0.19;    0.68;   -0.24;    0.40;   0.015
30/03/1964;   -0.10;    0.05;    0.05;   -0.11;    0.42;   0.015
31/03/1964;   -0.19;    0.21;   -0.30;    0.01;   -0.01;   0.015
01/04/1964;    0.34;    0.25;    0.66;   -0.10;    0.13;   0.013
02/04/1964;    0.57;   -0.02;    0.30;    0.22;    0.22;   0.013
03/04/1964;    0.22;   -0.06;   -0.41;    0.14;   -0.07;   0.013
06/04/1964;    0.07;    0.12;    0.24;   -0.40;    0.03;   0.013
07/04/1964;   -0.34;    0.20;   -0.42;   -0.14;   -0.37;   0.013
08/04/1964;    0.01;    0.39;    0.18;    0.02;    0.08;   0.013
09/04/1964;    0.00;    0.13;   -0.16;    0.13;    0.04;   0.013
10/04/1964;    0.19;    0.04;    0.09;   -0.16;   -0.02;   0.013
13/04/1964;   -0.08;   -0.07;   -0.22;    0.01;    0.09;   0.013
